Pos,Player,Tm,Opp,FD Sal $,Projected Own%,Cash Odds,GPP Odds,Implied Own%,FD LEV
RB,Devin Singletary,BUF,#NAME?,5700,0.50%,43%,5%,4%,8.3
RB,Giovani Bernard,CIN,SF,5700,7.50%,60%,12%,11%,1.4
WR,Marquez Valdes-Scantling,GB,MIN,5600,3.00%,37%,6%,5%,1.72
WR,Emmanuel Sanders,DEN,CHI,5600,3.00%,35%,4%,4%,1.41
WR,DaeSean Hamilton,DEN,CHI,5600,0.50%,15%,1%,1%,1.12
WR,Dante Pettis,SF,#NAME?,5600,0.50%,12%,0%,0%,0.55
TE,Vance McDonald,PIT,SEA,5600,3.00%,35%,7%,4%,1.43
RB,Raheem Mostert,SF,#NAME?,5600,0.50%,29%,2%,2%,3.01
RB,Matt Breida,SF,#NAME?,5600,7.50%,58%,11%,9%,1.24
WR,Larry Fitzgerald,ARI,#NAME?,5500,3.00%,43%,7%,7%,2.24
WR,Cody Latimer,NYG,BUF,5500,0.50%,17%,1%,1%,1.37
WR,James Washington,PIT,SEA,5500,3.00%,31%,4%,3%,1.16
WR,Randall Cobb,DAL,#NAME?,5500,3.00%,20%,1%,1%,0.38
RB,Kenyan Drake,MIA,NE,5500,0.50%,36%,3%,2%,4.69
RB,Malcolm Brown,LAR,NO,5500,3.00%,13%,0%,0%,0.06
WR,Donte Moncrief,PIT,SEA,5400,0.50%,26%,2%,2%,4.29
WR,Christian Kirk,ARI,#NAME?,5400,3.00%,36%,5%,5%,1.5
WR,A.J. Brown,TEN,IND,5400,3.00%,35%,4%,4%,1.37
WR,D.J. Chark,JAX,#NAME?,5400,3.00%,31%,3%,3%,1.03
WR,Danny Amendola,DET,LAC,5400,3.00%,29%,3%,3%,0.92
TE,Jack Doyle,IND,#NAME?,5400,0.50%,24%,3%,2%,3.76
TE,Darren Waller,OAK,KC,5400,12.50%,60%,20%,13%,1.06
TE,Jimmy Graham,GB,MIN,5400,3.00%,30%,5%,3%,0.99
RB,Carlos Hyde,HOU,JAX,5400,0.50%,34%,3%,2%,4.61
RB,Jaylen Samuels,PIT,SEA,5400,0.50%,10%,0%,0%,0.16
WR,Kenny Stills,HOU,JAX,5300,0.50%,24%,2%,2%,3.44
WR,Terry McLaurin,WAS,DAL,5300,3.00%,37%,5%,5%,1.56
WR,DeVante Parker,MIA,NE,5300,3.00%,35%,4%,4%,1.37
WR,Robert Foster,BUF,#NAME?,5300,0.50%,4%,0%,0%,0.03
RB,Chris Thompson,WAS,DAL,5300,0.50%,35%,2%,2%,4.08
RB,Nyheim Hines,IND,#NAME?,5300,0.50%,14%,0%,0%,0.46
WR,Marquise Goodwin,SF,#NAME?,5200,0.50%,25%,2%,2%,3.76
WR,TreQuan Smith,NO,#NAME?,5200,0.50%,17%,1%,1%,1.27
WR,Anthony Miller,CHI,#NAME?,5200,0.50%,11%,0%,0%,0.35
WR,Demarcus Robinson,KC,#NAME?,5200,0.50%,6%,0%,0%,0.07
TE,Noah Fant,DEN,CHI,5200,0.50%,20%,2%,1%,2.54
RB,Gus Edwards,BAL,ARI,5200,0.50%,14%,0%,0%,0.42
