"Position","Player","Team","Vs","M/U","Open $","Current $","% of Cap","SeasonChange","Last Week","WeekChange"
"QB","Chris Streveler","ARI","@DAL","22","6000","--","10.00","0","6000","--"
"WR","Freddie Swain","SEA","BYE","0","4500","--","8.00","300","4800","--"
"TE","Tommy Sweeney","BUF","KC","15","4100","--","6.67","-100","4000","--"
"RB","D'Andre Swift","DET","@JAX","30","5100","5400","9.00","300","--","--"
"QB","Tua Tagovailoa","MIA","NYJ","13","6200","6200","10.33","0","6200","0"
"WR","Golden Tate","NYG","WAS","13","5600","5400","9.00","-200","5500","-100"
"WR","Malik Taylor","GB","@TB","22","4500","4500","7.50","0","--","--"
"RB","Patrick Taylor","GB","@TB","2","4500","4500","7.50","0","--","--"
"QB","Tyrod Taylor","LAC","BYE","0","7000","--","11.00","-400","6600","--"
"WR","Greg Ward","PHI","BAL","17","4900","5300","8.83","400","5000","300"
"QB","Deshaun Watson","HOU","@TEN","28","8200","8200","13.67","0","7900","300"
"WR","Taywan Taylor","CLE","@PIT","29","4500","4500","7.50","0","4500","0"
"WR","Trent Taylor","SF","LAR","1","4700","--","7.50","-200","4500","--"
"WR","Adam Thielen","MIN","ATL","2","6800","7400","12.33","600","7300","100"
"WR","DeAnthony Thomas","BAL","@PHI","23","4500","4500","7.50","0","4500","0"
"TE","Noah Togiai","IND","CIN","9","4000","4000","6.67","0","4000","0"
"TE","Eric Tomlinson","NYG","WAS","25","4000","4000","6.67","0","4000","0"
"QB","Mitch Trubisky","CHI","@CAR","2","6900","7000","11.67","100","7000","0"
"TE","C.J. Uzomah","CIN","@IND","8","4600","4000","6.67","-600","4000","0"
"WR","James Washington","PIT","CLE","30","5100","4800","8.00","-300","4800","0"
"WR","Quez Watkins","PHI","BAL","17","4500","4500","7.50","0","4500","0"
"TE","Ian Thomas","CAR","CHI","21","5100","4600","7.67","-500","4700","-100"
"TE","Jordan Thomas","ARI","@DAL","26","4500","--","7.00","-300","4200","--"
"WR","Mike Thomas","CIN","@IND","3","4500","4700","7.83","200","4700","0"
"TE","Levine Toilolo","NYG","WAS","25","4000","4000","6.67","0","4000","0"
"RB","Derek Watt","PIT","CLE","13","4500","4500","7.50","0","4500","0"
"TE","Logan Thomas","WAS","@NYG","2","4000","4800","8.00","800","4900","-100"
"WR","Michael Thomas","NO","BYE","0","8800","--","14.67","0","8800","--"
"RB","Chris Thompson","JAX","DET","25","4900","4600","7.67","-300","4700","-100"
"RB","Darwin Thompson","KC","@BUF","14","4700","--","7.50","-200","4500","--"
"TE","Robert Tonyan","GB","@TB","14","4200","6200","10.33","2000","--","--"
"TE","Adam Trautman","NO","BYE","0","4000","--","7.00","200","4200","--"
"WR","Malik Turner","DAL","ARI","11","4500","--","7.50","0","4500","--"
"WR","Marquez Valdes-Scantling","GB","@TB","22","4700","5600","9.33","900","--","--"
"TE","Jason Vander Laan","NO","BYE","0","4000","--","6.67","0","4000","--"
"TE","Nick Vannett","DEN","@NE","1","4000","4000","6.67","0","4000","0"
"RB","Ke'Shawn Vaughn","TB","GB","27","5000","4900","8.17","-100","5000","-100"
"WR","Jordan Veasy","WAS","@NYG","19","4500","--","7.50","0","4500","--"
"TE","Darren Waller","LV","BYE","0","6900","--","11.33","-100","6800","--"
"RB","Jonathan Ward","ARI","@DAL","9","4500","--","7.50","0","4500","--"
"TE","Kahale Warring","HOU","@TEN","28","4000","4000","6.67","0","4000","0"
"RB","DeAndre Washington","KC","@BUF","14","4900","--","7.50","-400","4500","--"
"RB","Dwayne Washington","NO","BYE","0","4500","--","7.50","0","4500","--"
"WR","Sammy Watkins","KC","@BUF","26","5400","--","9.33","200","5600","--"
"WR","Justin Watson","TB","GB","14","4800","4600","7.67","-200","4700","-100"
"WR","Nsimba Webster","LAR","@SF","16","4500","--","7.50","0","4500","--"
"WR","Preston Williams","MIA","NYJ","18","5300","5400","9.00","100","5100","300"
"TE","Trevon Wesco","NYJ","@MIA","11","4000","4100","6.83","100","4000","100"
"RB","James White","NE","DEN","5","5300","5200","8.67","-100","5100","100"
"WR","Antoine Wesley","BAL","@PHI","23","4500","4500","7.50","0","4500","0"
"WR","Dede Westbrook","JAX","DET","25","5500","4500","7.50","-1000","4500","0"
"WR","DeAndrew White","BAL","@PHI","23","4500","4500","7.50","0","4500","0"
"WR","Isaac Whitney","HOU","@TEN","21","4500","4500","7.50","0","4500","0"
"RB","Trayveon Williams","CIN","@IND","4","4500","4500","7.50","0","4500","0"
"WR","Albert Wilson","MIA","NYJ","18","5100","4500","7.50","-600","4500","0"
"WR","Javon Wims","CHI","@CAR","8","4600","4600","7.67","0","4600","0"
"QB","Carson Wentz","PHI","BAL","23","7700","7000","11.67","-700","7200","-200"
"RB","Jordan Wilkins","IND","CIN","18","4600","4600","7.67","0","4800","-200"
"RB","Darrel Williams","KC","@BUF","14","4600","--","8.00","200","4800","--"
"RB","Damien Williams","KC","@BUF","14","4500","--","7.50","0","4500","--"
"RB","Jamaal Williams","GB","@TB","2","4900","5200","8.67","300","--","--"
"TE","Maxx Williams","ARI","@DAL","26","4400","--","6.67","-400","4000","--"
"WR","Mike Williams","LAC","BYE","0","5900","--","9.33","-300","5600","--"
"WR","Tyrell Williams","LV","BYE","0","5600","--","7.50","-1100","4500","--"
"TE","Luke Willson","SEA","BYE","0","4100","--","6.67","-100","4000","--"
"WR","Cedrick Wilson","DAL","ARI","11","4500","--","8.00","300","4800","--"
"RB","Jeff Wilson","SF","LAR","28","4600","--","10.33","1600","6200","--"
"QB","Russell Wilson","SEA","BYE","0","8400","--","14.33","200","8600","--"
"QB","Jameis Winston","NO","BYE","0","6000","--","10.00","0","6000","--"
"TE","Jason Witten","LV","BYE","0","4500","--","7.00","-300","4200","--"
