"Pos","Player","Tm","Opp","FD Sal $","Projected Own%","Cash Odds","GPP Odds","Implied Own%","FD LEV"
"QB","Gardner Minshew","JAX","@TEN","7000","3.0%","42%","13%","4%","1.33"
"RB","Todd Gurley","ATL","@DAL","7000","7.5%","45%","7%","9%","1.21"
"QB","Ryan Tannehill","TEN","JAX","7000","7.5%","49%","19%","6%","0.74"
"WR","Amari Cooper","DAL","ATL","7000","22.5%","45%","10%","10%","0.43"
"QB","Daniel Jones","NYG","@CHI","6900","0.5%","37%","11%","3%","6.65"
"RB","Austin Ekeler","LAC","KC","6900","3.0%","48%","8%","9%","3.09"
"WR","Keenan Allen","LAC","KC","6900","3.0%","37%","6%","6%","1.86"
"RB","James Conner","PIT","DEN","6900","0.5%","13%","1%","1%","1.23"
"QB","Teddy Bridgewater","CAR","@TB","6900","3.0%","39%","11%","3%","1.15"
"QB","Tyrod Taylor","LAC","KC","6800","0.5%","39%","12%","4%","7.04"
"RB","Miles Sanders","PHI","LAR","6800","3.0%","39%","5%","6%","1.97"
"WR","D.J. Moore","CAR","@TB","6800","7.5%","44%","8%","8%","1.10"
"WR","Stefon Diggs","BUF","@MIA","6800","7.5%","39%","7%","7%","0.87"
"QB","Drew Lock","DEN","@PIT","6700","0.5%","32%","8%","2%","4.90"
"WR","D.J. Chark","JAX","@TEN","6700","3.0%","40%","7%","7%","2.25"
"WR","Robert Woods","LAR","@PHI","6700","7.5%","44%","9%","9%","1.15"
"RB","Melvin Gordon","DEN","@PIT","6700","7.5%","41%","5%","6%","0.87"
"QB","Sam Darnold","NYJ","SF","6600","0.5%","32%","8%","2%","4.83"
"WR","A.J. Brown","TEN","JAX","6600","7.5%","45%","10%","10%","1.28"
"RB","Kenyan Drake","ARI","WAS","6600","12.5%","54%","12%","14%","1.14"
"QB","Ryan Fitzpatrick","MIA","BUF","6500","0.5%","38%","11%","3%","6.68"
"QB","Dwayne Haskins","WAS","@ARI","6500","0.5%","38%","11%","3%","6.45"
"WR","Terry McLaurin","WAS","@ARI","6500","7.5%","47%","10%","10%","1.35"
"RB","Raheem Mostert","SF","@NYJ","6500","7.5%","47%","8%","10%","1.34"
"WR","Marvin Jones","DET","@GB","6400","3.0%","40%","7%","7%","2.30"
"WR","John Brown","BUF","@MIA","6400","7.5%","39%","6%","6%","0.83"
"WR","T.Y. Hilton","IND","MIN","6300","7.5%","42%","7%","7%","0.98"
"TE","Zach Ertz","PHI","LAR","6300","7.5%","35%","8%","5%","0.73"
"RB","Mark Ingram","BAL","@HOU","6200","3.0%","35%","4%","5%","1.55"
"WR","Marquise Brown","BAL","@HOU","6200","17.5%","46%","9%","9%","0.53"
"WR","Will Fuller","HOU","BAL","6100","7.5%","44%","8%","8%","1.08"
"TE","Hunter Henry","LAC","KC","6100","7.5%","34%","7%","5%","0.65"
"RB","Leonard Fournette","TB","CAR","6000","0.5%","21%","1%","1%","2.56"
"WR","Jamison Crowder","NYJ","SF","6000","3.0%","39%","6%","6%","1.94"
"TE","Evan Engram","NYG","@CHI","6000","3.0%","28%","4%","3%","1.07"
"RB","Devin Singletary","BUF","@MIA","6000","3.0%","32%","2%","3%","0.97"
"WR","Michael Gallup","DAL","ATL","6000","12.5%","46%","9%","9%","0.73"
"WR","Robby Anderson","CAR","@TB","5900","3.0%","36%","5%","5%","1.63"
