"Pos","Player","Tm","Opp","FD Sal $","Projected Own%","Cash Odds","GPP Odds","Implied Own%","FD LEV"
"RB","Myles Gaskin","MIA","BAL","4500","0.5%","2%","0%","0%","0.00"
"DEF","Los Angeles Rams","LAR","@CAR","4400","0.5%","36%","1%","2%","4.16"
"TE","Hayden Hurst","BAL","@MIA","4400","0.5%","11%","0%","0%","0.54"
"TE","C.J. Uzomah","CIN","@SEA","4300","0.5%","17%","1%","1%","1.23"
"DEF","Cleveland Browns","CLE","TEN","4300","7.5%","43%","2%","5%","0.60"
"DEF","Minnesota Vikings","MIN","ATL","4300","3.0%","36%","1%","2%","0.51"
"DEF","New York Jets","NYJ","BUF","4200","7.5%","51%","4%","10%","1.31"
"TE","Charles Clay","ARI","DET","4200","0.5%","8%","0%","0%","0.20"
"DEF","Detroit Lions","DET","@ARI","4100","3.0%","40%","1%","2%","0.61"
"TE","Maxx Williams","ARI","DET","4100","0.5%","6%","0%","0%","0.10"
"TE","Will Dissly","SEA","CIN","4000","0.5%","26%","2%","2%","3.26"
"TE","Ryan Griffin","NYJ","BUF","4000","0.5%","25%","2%","2%","3.14"
"TE","Vernon Davis","WAS","@PHI","4000","3.0%","39%","6%","5%","1.51"
"DEF","Buffalo Bills","BUF","@NYJ","4000","3.0%","47%","2%","4%","1.38"
"TE","Jesse James","DET","@ARI","4000","0.5%","16%","1%","0%","0.95"
"TE","Rhett Ellison","NYG","@DAL","4000","0.5%","16%","1%","0%","0.95"
"TE","Blake Jarwin","DAL","NYG","4000","0.5%","15%","1%","0%","0.80"
"TE","Tyler Higbee","LAR","@CAR","4000","0.5%","15%","1%","0%","0.80"
"TE","Jonnu Smith","TEN","@CLE","4000","0.5%","13%","0%","0%","0.56"
"TE","James O'Shaughnessy","JAX","KC","4000","0.5%","13%","0%","0%","0.53"
"TE","Blake Bell","KC","@JAX","4000","0.5%","12%","0%","0%","0.46"
"TE","Irv Smith Jr.","MIN","ATL","4000","0.5%","12%","0%","0%","0.46"
"DEF","Los Angeles Chargers","LAC","IND","4000","12.5%","48%","2%","5%","0.38"
"TE","Mo Alie-Cox","IND","@LAC","4000","0.5%","11%","0%","0%","0.33"
"TE","Jeremy Sprinkle","WAS","@PHI","4000","0.5%","11%","0%","0%","0.33"
"TE","Luke Stocker","ATL","@MIN","4000","0.5%","10%","0%","0%","0.31"
"TE","Demetrius Harris","CLE","TEN","4000","0.5%","10%","0%","0%","0.29"
"TE","Deon Yelder","KC","@JAX","4000","0.5%","10%","0%","0%","0.27"
"TE","Dalton Schultz","DAL","NYG","4000","0.5%","9%","0%","0%","0.23"
"TE","Drew Sample","CIN","@SEA","4000","0.5%","8%","0%","0%","0.19"
"TE","Virgil Green","LAC","IND","4000","0.5%","8%","0%","0%","0.19"
"TE","Anthony Firkser","TEN","@CLE","4000","0.5%","8%","0%","0%","0.19"
"TE","Nick O'Leary","MIA","BAL","4000","0.5%","8%","0%","0%","0.16"
"TE","Ross Dwelley","SF","@TB","4000","0.5%","8%","0%","0%","0.15"
"TE","Antony Auclair","TB","SF","4000","0.5%","7%","0%","0%","0.13"
"TE","Tyler Conklin","MIN","ATL","4000","0.5%","7%","0%","0%","0.13"
"TE","Tommy Sweeney","BUF","@NYJ","4000","0.5%","7%","0%","0%","0.11"
"TE","Chris Manhertz","CAR","LAR","4000","0.5%","7%","0%","0%","0.11"
"TE","Nick Boyle","BAL","@MIA","4000","0.5%","6%","0%","0%","0.10"
"TE","Sean Culkin","LAC","IND","4000","0.5%","6%","0%","0%","0.09"
"DEF","Kansas City Chiefs","KC","@JAX","3900","3.0%","43%","1%","2%","0.52"
"DEF","Jacksonville Jaguars","JAX","KC","3900","0.5%","29%","0%","0%","0.23"
"DEF","San Francisco 49ers","SF","@TB","3700","0.5%","46%","1%","2%","3.30"
"DEF","Tennessee Titans","TEN","@CLE","3700","0.5%","44%","0%","1%","2.31"
"DEF","Indianapolis Colts","IND","@LAC","3600","0.5%","40%","0%","0%","0.70"
"DEF","Arizona Cardinals","ARI","DET","3600","0.5%","37%","0%","0%","0.37"
"DEF","Tampa Bay Buccaneers","TB","SF","3500","0.5%","50%","1%","2%","3.72"
"DEF","Atlanta Falcons","ATL","@MIN","3500","0.5%","41%","0%","0%","0.59"
"DEF","Carolina Panthers","CAR","LAR","3500","0.5%","37%","0%","0%","0.27"
"DEF","Washington Redskins","WAS","@PHI","3500","0.5%","37%","0%","0%","0.23"
"DEF","New York Giants","NYG","@DAL","3400","0.5%","45%","0%","1%","1.01"
"DEF","Cincinnati Bengals","CIN","@SEA","3100","3.0%","44%","0%","0%","0.03"
"DEF","Miami Dolphins","MIA","BAL","3000","0.5%","49%","0%","0%","0.40"
