"pricing_position","pricing_player","pricing_team","pricing_open","pricing_current","pricing_season_change","pricing_week_change"
"QB","Nate Sudfeld","PHI",6000,6000,0,0
"WR","Courtland Sutton","DEN",6900,4500,-2400,0
"TE","Geoff Swaim","TEN",4000,4000,0,0
"WR","Freddie Swain","SEA",4500,4700,200,0
"RB","DAndre Swift","DET",5100,6900,1800,900
"QB","Tua Tagovailoa","MIA",6200,6700,500,-100
"QB","Ryan Tannehill","TEN",7000,7300,300,-200
"WR","Auden Tate","CIN",4500,4500,0,-100
"RB","Jonathan Taylor","IND",5300,5700,400,-600
"RB","JJ Taylor","NWE",4500,4500,0,-100
"WR","Malik Taylor","GNB",4500,4600,100,0
"RB","Patrick Taylor","GNB",4500,4500,0,0
"QB","Tyrod Taylor","LAC",7000,6400,-600,0
"WR","Taywan Taylor","CLE",4500,4500,0,0
"WR","Adam Thielen","MIN",6800,7900,1100,400
"WR","DeAnthony Thomas","BAL",4500,4500,0,0
"TE","Ian Thomas","CAR",5100,4500,-600,100
"TE","Jordan Thomas","NWE",4500,4200,-300,0
"TE","Logan Thomas","WAS",4000,5200,1200,300
"WR","Mike Thomas","CIN",4500,4500,0,0
"WR","Michael Thomas","NOR",8800,8200,-600,-300
"RB","Chris Thompson","JAX",4900,4700,-200,-100
"RB","Darwin Thompson","KAN",4700,4500,-200,NA
"TE","Noah Togiai","IND",4000,4000,0,0
"TE","Robert Tonyan","GNB",4200,5600,1400,-100
"TE","Adam Trautman","NOR",4000,4200,200,0
"WR","Malik Turner","DAL",4500,4500,0,NA
"TE","CJ Uzomah","CIN",4600,4000,-600,0
"WR","Marquez ValdesScantling","GNB",4700,5800,1100,300
"TE","Jason Vander Laan","NOR",4000,4000,0,0
"TE","Nick Vannett","DEN",4000,4200,200,-200
"RB","KeShawn Vaughn","TAM",5000,4700,-300,0
"TE","Darren Waller","LVR",6900,7000,100,0
"WR","Greg Ward","PHI",4900,5200,300,100
"RB","Jonathan Ward","ARI",4500,4500,0,0
"TE","Kahale Warring","HOU",4000,4000,0,0
"RB","DeAndre Washington","MIA",4900,4500,-400,0
"RB","Dwayne Washington","NOR",4500,4500,0,0
"WR","James Washington","PIT",5100,5200,100,100
"WR","Quez Watkins","PHI",4500,4500,0,0
"WR","Sammy Watkins","KAN",5400,5700,300,NA
"QB","Deshaun Watson","HOU",8200,7700,-500,-600
