"Position","Player","Team","Vs","M/U","Open $","Current $","% of Cap","SeasonChange","Last Week","WeekChange"
"TE","Tyler Kroft","BUF","@TEN","28","4300","4400","7.33","100","4700","-300"
"RB","Latavius Murray","NO","LAC","7","5100","5200","8.67","100","4900","300"
"WR","Zach Pascal","IND","@CLE","30","5200","5300","8.83","100","5000","300"
"TE","David Njoku","CLE","IND","8","4400","4500","7.50","100","4500","0"
"TE","Greg Olsen","SEA","MIN","3","4900","5000","8.33","100","5000","0"
"WR","Brandon Powell","ATL","CAR","8","4500","4600","7.67","100","4700","-100"
"TE","Foster Moreau","LV","@KC","15","4100","4200","7.00","100","4400","-200"
"RB","La'Mical Perine","NYJ","ARI","17","4500","4600","7.67","100","4800","-200"
"WR","Demarcus Robinson","KC","LV","10","4600","4700","7.83","100","4900","-200"
"TE","Adam Shaheen","MIA","@SF","6","4000","4100","6.83","100","4200","-100"
"RB","Benny Snell Jr.","PIT","PHI","8","4600","4700","7.83","100","4800","-100"
"RB","J.J. Taylor","NE","BYE","0","4500","4600","7.67","100","4700","-100"
"QB","Mitch Trubisky","CHI","TB","12","6900","7000","11.67","100","7000","0"
"WR","Greg Ward","PHI","@PIT","29","4900","5000","8.33","100","5000","0"
"WR","Nelson Agholor","LV","@KC","5","4900","4900","8.17","0","4700","200"
"DEF","Seattle Seahawks","SEA","MIN","23","4000","4000","6.67","0","4000","0"
"RB","Josh Adams","NYJ","ARI","17","4500","4500","7.50","0","4500","0"
"WR","Quincy Adeboyejo","NE","BYE","0","4500","4500","7.50","0","4500","0"
"RB","Salvon Ahmed","MIA","@SF","11","4500","4500","7.50","0","4500","0"
"DEF","Green Bay Packers","GB","BYE","0","3900","--","6.50","0","3900","--"
"QB","Kyle Allen","WAS","LAR","4","6000","6000","10.00","0","6000","0"
"TE","Stephen Anderson","LAC","@NO","29","4000","4000","6.67","0","4000","0"
"TE","Antony Auclair","TB","@CHI","21","4000","4000","6.67","0","4000","0"
"TE","Marcus Baugh","WAS","LAR","18","4000","4000","6.67","0","4000","0"
"WR","Omar Bayless","CAR","@ATL","2","4500","4500","7.50","0","4500","0"
"QB","C.J. Beathard","SF","MIA","11","6000","6000","10.00","0","6000","0"
"TE","Andrew Beck","DEN","BYE","0","4000","4000","6.67","0","4000","0"
"WR","Chad Beebe","MIN","@SEA","32","4500","4500","7.50","0","4500","0"
"RB","Nick Bellore","SEA","MIN","21","4500","4500","7.50","0","4500","0"
"RB","Khari Blasingame","TEN","BUF","14","4500","4500","7.50","0","4500","0"
